,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,Count,Count,Count,Count
VesselType,Aframax/LR2,MR,Suezmax,VLCC,Aframax/LR2,MR,Suezmax,VLCC
Date,,,,,,,,
2023-09-03,37982.04081807437,,41549.33755497029,55497.680432477544,18.0,0.0,25.0,23.0
2023-09-04,37982.04081807437,,41549.33755497029,55497.680432477544,18.0,0.0,25.0,23.0
2023-09-05,36980.594736192026,,40489.932045835674,54000.54475802971,18.0,0.0,25.0,23.0
2023-09-06,36848.5370655146,,40350.23144051082,53803.12199765099,18.0,0.0,25.0,23.0
2023-09-07,36881.55043367454,,40385.1554815915,53852.47611875655,18.0,0.0,25.0,23.0
2023-09-08,37685.65058187261,,41261.05625495356,54991.739802541706,18.0,0.0,25.0,23.0
2023-09-09,37685.65058187261,,41261.05625495356,54991.739802541706,18.0,0.0,25.0,23.0
2023-09-10,37685.65058187261,,41261.05625495356,54991.739802541706,18.0,0.0,25.0,23.0
2023-09-11,37146.188309885285,,40689.89873782538,54186.43565945285,18.0,0.0,25.0,23.0
2023-09-12,37245.273045566566,,40794.80503907337,54334.34840943453,18.0,0.0,25.0,23.0
2023-09-13,37146.188309885285,,40689.89873782538,54186.43565945285,18.0,0.0,25.0,23.0
2023-09-14,36353.512524310725,,39850.65055109206,53003.136794274,18.0,0.0,25.0,23.0
2023-09-15,36378.18949165109,,40209.19277245102,53918.60191395402,18.0,0.0,25.0,23.0
2023-09-16,36378.18949165109,,40209.19277245102,53918.60191395402,18.0,0.0,25.0,23.0
2023-09-17,36378.18949165109,,40209.19277245102,53918.60191395402,18.0,0.0,25.0,23.0
2023-09-18,36943.26153157822,,40814.301082972044,54780.20568985143,18.0,0.0,25.0,23.0
2023-09-19,37008.46151382518,,40884.12058971768,54879.62053773468,18.0,0.0,25.0,23.0
2023-09-20,37475.73254404685,,41384.49853035921,55592.100461636706,18.0,0.0,25.0,23.0
2023-09-21,38040.804583973986,,41989.606840880246,56453.70423753412,18.0,0.0,25.0,23.0
2023-09-22,37842.68462761862,,42184.1224145603,56894.31916527742,18.0,0.0,25.0,23.0
2023-09-23,37842.68462761862,,42184.1224145603,56894.31916527742,18.0,0.0,25.0,23.0
